nbmonstre = 4
monstre : x=128 y=128 type=4
monstre : x=128 y=512 type=6
monstre : x=1088 y=128 type=6
monstre : x=1088 y=512 type=4

longueur = 19, largeur = 10
lv ={0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,
     1,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1,
     1,13,0,0,2,2,2,0,13,0,0,13,0,2,2,0,0,13,1,
     1,13,0,13,13,13,13,13,13,13,13,13,13,13,13,13,0,13,1,
     1,13,13,13,0,0,0,0,0,0,0,0,0,0,0,13,13,13,1,
     1,13,13,13,0,0,0,0,0,0,0,0,0,0,0,13,13,13,1,
     1,13,0,13,13,13,13,13,13,13,13,13,13,13,13,13,0,13,1,
     1,13,0,0,2,2,2,0,13,0,0,13,0,2,2,0,0,13,1,
     1,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1,
     0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0}
