nbmonstre = 4
monstre : x=128 y=128 type=4
monstre : x=128 y=512 type=4
monstre : x=1088 y=128 type=4
monstre : x=1088 y=512 type=4
longueur = 19, largeur = 10
lv ={0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,
     1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,
     1,6,6,0,2,2,2,0,6,6,6,0,2,2,2,0,6,6,1,
     1,6,0,0,6,6,6,6,6,6,6,6,6,6,6,0,0,6,1,
     1,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,1,
     1,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,1,
     1,6,0,0,6,6,6,6,6,6,6,6,6,6,6,0,0,6,1,
     1,6,6,0,2,2,2,0,6,6,6,0,2,2,2,0,6,6,1,
     1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,
     0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0}
